county_geoid,total_rows,match_rows,tie_rows,resolved_rows,strict_match_rate_pct,tract_resolution_rate_pct,state_abbrev
37107,123,121,2,123,98.37,100.0,NC
37109,254,254,0,254,100.0,100.0,NC
37111,30,30,0,30,100.0,100.0,NC
37113,29,28,1,28,96.55,96.55,NC
37115,18,16,2,17,88.89,94.44,NC
37117,27,26,1,27,96.3,100.0,NC
37119,5992,5976,16,5988,99.73,99.93,NC
37121,10,10,0,10,100.0,100.0,NC
37123,20,20,0,20,100.0,100.0,NC
37125,242,242,0,242,100.0,100.0,NC
37127,251,249,2,251,99.2,100.0,NC
37129,1319,1319,0,1319,100.0,100.0,NC
37131,10,10,0,10,100.0,100.0,NC
37133,342,342,0,342,100.0,100.0,NC
37135,356,354,2,354,99.44,99.44,NC
37137,7,7,0,7,100.0,100.0,NC
37139,116,115,1,115,99.14,99.14,NC
37141,128,124,4,128,96.88,100.0,NC
37143,6,6,0,6,100.0,100.0,NC
37145,57,56,1,56,98.25,98.25,NC
37147,484,483,1,483,99.79,99.79,NC
37149,16,16,0,16,100.0,100.0,NC
37151,379,379,0,379,100.0,100.0,NC
37153,45,45,0,45,100.0,100.0,NC
37155,175,174,1,174,99.43,99.43,NC
37157,164,160,4,164,97.56,100.0,NC
37159,380,365,15,366,96.05,96.32,NC
37161,117,117,0,117,100.0,100.0,NC
37163,95,89,6,93,93.68,97.89,NC
37165,54,54,0,54,100.0,100.0,NC
37167,122,119,3,122,97.54,100.0,NC
37169,39,38,1,38,97.44,97.44,NC
37171,158,155,3,158,98.1,100.0,NC
37173,2,2,0,2,100.0,100.0,NC
37175,57,56,1,57,98.25,100.0,NC
37177,4,4,0,4,100.0,100.0,NC
37179,708,708,0,708,100.0,100.0,NC
37181,105,105,0,105,100.0,100.0,NC
37183,4265,4260,5,4263,99.88,99.95,NC
37185,11,11,0,11,100.0,100.0,NC
37187,7,7,0,7,100.0,100.0,NC
37189,93,93,0,93,100.0,100.0,NC
37191,282,279,3,280,98.94,99.29,NC
37193,105,104,1,105,99.05,100.0,NC
37195,214,193,21,202,90.19,94.39,NC
37197,50,49,1,49,98.0,98.0,NC
37199,8,8,0,8,100.0,100.0,NC
38001,1,1,0,1,100.0,100.0,ND
38003,1,1,0,1,100.0,100.0,ND
38005,1,1,0,1,100.0,100.0,ND
38009,3,3,0,3,100.0,100.0,ND
38015,332,332,0,332,100.0,100.0,ND
38017,659,636,23,644,96.51,97.72,ND
38021,2,2,0,2,100.0,100.0,ND
38025,7,7,0,7,100.0,100.0,ND
38029,1,1,0,1,100.0,100.0,ND
38033,1,1,0,1,100.0,100.0,ND
38035,131,131,0,131,100.0,100.0,ND
38045,1,1,0,1,100.0,100.0,ND
38049,2,2,0,2,100.0,100.0,ND
38053,30,27,3,30,90.0,100.0,ND
38055,1,1,0,1,100.0,100.0,ND
38057,2,2,0,2,100.0,100.0,ND
38059,61,61,0,61,100.0,100.0,ND
38061,5,5,0,5,100.0,100.0,ND
38067,1,1,0,1,100.0,100.0,ND
38071,5,5,0,5,100.0,100.0,ND
38073,1,1,0,1,100.0,100.0,ND
38077,6,6,0,6,100.0,100.0,ND
38089,50,49,1,49,98.0,98.0,ND
38093,19,17,2,17,89.47,89.47,ND
38097,3,3,0,3,100.0,100.0,ND
38099,3,3,0,3,100.0,100.0,ND
38101,105,104,1,105,99.05,100.0,ND
38105,114,113,1,114,99.12,100.0,ND
39001,8,8,0,8,100.0,100.0,OH
39003,217,216,1,216,99.54,99.54,OH
39005,81,80,1,81,98.77,100.0,OH
39007,125,117,8,119,93.6,95.2,OH
39009,46,46,0,46,100.0,100.0,OH
39011,60,58,2,60,96.67,100.0,OH
39013,76,76,0,76,100.0,100.0,OH
39015,29,29,0,29,100.0,100.0,OH
39017,1407,1402,5,1406,99.64,99.93,OH
39019,23,22,1,23,95.65,100.0,OH
39021,31,31,0,31,100.0,100.0,OH
39023,285,285,0,285,100.0,100.0,OH
39025,523,519,4,523,99.24,100.0,OH
39027,72,72,0,72,100.0,100.0,OH
39029,127,126,1,127,99.21,100.0,OH
39031,25,25,0,25,100.0,100.0,OH
39033,30,30,0,30,100.0,100.0,OH
39035,5276,5268,8,5276,99.85,100.0,OH
39037,92,92,0,92,100.0,100.0,OH
39039,69,69,0,69,100.0,100.0,OH
39041,572,571,1,572,99.83,100.0,OH
39043,203,197,6,201,97.04,99.01,OH
39045,270,269,1,270,99.63,100.0,OH
39047,38,38,0,38,100.0,100.0,OH
39049,5695,5676,19,5689,99.67,99.89,OH
39051,62,61,1,61,98.39,98.39,OH
39053,15,14,1,15,93.33,100.0,OH
39055,280,280,0,280,100.0,100.0,OH
39057,476,473,3,475,99.37,99.79,OH
39059,58,58,0,58,100.0,100.0,OH
39061,3864,3854,10,3864,99.74,100.0,OH
39063,190,188,2,188,98.95,98.95,OH
39065,20,20,0,20,100.0,100.0,OH
39067,12,12,0,12,100.0,100.0,OH
39069,39,37,2,38,94.87,97.44,OH
39071,24,24,0,24,100.0,100.0,OH
39073,15,15,0,15,100.0,100.0,OH
39075,9,9,0,9,100.0,100.0,OH
39077,91,90,1,91,98.9,100.0,OH
39079,17,17,0,17,100.0,100.0,OH
39081,98,98,0,98,100.0,100.0,OH
39083,63,63,0,63,100.0,100.0,OH
39085,1052,1047,5,1050,99.52,99.81,OH
39087,55,55,0,55,100.0,100.0,OH
39089,419,416,3,419,99.28,100.0,OH
39091,58,57,1,58,98.28,100.0,OH
39093,719,711,8,715,98.89,99.44,OH
39095,1647,1639,8,1647,99.51,100.0,OH
39097,78,77,1,78,98.72,100.0,OH
39099,679,673,6,678,99.12,99.85,OH
39101,68,67,1,68,98.53,100.0,OH
39103,546,546,0,546,100.0,100.0,OH
39105,1,1,0,1,100.0,100.0,OH
39107,29,29,0,29,100.0,100.0,OH
39109,278,274,4,277,98.56,99.64,OH
39111,2,2,0,2,100.0,100.0,OH
39113,2059,2038,21,2057,98.98,99.9,OH
39115,5,5,0,5,100.0,100.0,OH
39117,30,30,0,30,100.0,100.0,OH
39119,140,140,0,140,100.0,100.0,OH
