LeaseCompId,PropertyId,PropertyName,Tenant.Name,TenantIndustry,TenantNAICS,Market,Submarket,Address.DeliveryAddress,Suite,Address.Locality,Address.County,Address.PostalCode,Address.RegionName,Address.Subdivision,Address.Country,IsVerified.RawValue,SpaceUse,LeaseSource,LeaseOrigin,full_address_std,match,matched_address,latitude,longitude,state_fips,county_fips,census_tract,census_block,geoid,tie_matched_addresses,tie_latitudes,tie_longitudes,tie_geoids,source_batch,zip_original,zip_geocoder,zip_geocoder_tie_list,zip_geocoder_all,zip_geocoder_all_str,tie_candidate_count,tie_zip_candidate_count,match_type,matching_output_count,candidate_output_count,zip_match_detail,flag,flag_detail,zipcode_match_status,zipcode_match_bool,final_lat,final_long
70135183.0,79.0,,,,,"Washington, DC",East End,703 6th St NW,,Washington,District of Columbia,20001.0,,DC,United States,False,Office,Third Party - Other,CoStar Research,"703 6TH ST NW, WASHINGTON, DC 20001, UNITED STATES",Match,"703 6TH ST NW, WASHINGTON, DC, 20001",38.898392844698,-77.019831590285,11.0,1.0,5801.0,2004.0,110010058012004.0,,,,,011,20001,20001,[],['20001'],20001,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.898392844698,-77.019831590285
111167252.0,765347.0,Anacostia Gateway,,,,"Washington, DC",Southeast,1800 Martin Luther King Jr Ave SE,,Washington,District of Columbia,20020.0,,DC,United States,False,Retail,Third Party - Other,CoStar Research,"1800 MARTIN LUTHER KING JR AVE SE, WASHINGTON, DC 20020, UNITED STATES",Match,"1800 M L KING JR AVE SE, WASHINGTON, DC, 20020",38.868183733398,-76.988201209526,11.0,1.0,7601.0,5015.0,110010076015015.0,,,,,011,20020,20020,[],['20020'],20020,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.868183733398,-76.988201209526
111397023.0,129811.0,Transpoint,United States Coast Guard,Public Administration,National Security,"Washington, DC",Capitol Riverfront,2100 2nd St SW,,Washington,District of Columbia,20593.0,,DC,United States,False,Office,Public Record - FOIA,CoStar Research,"2100 2ND ST SW, WASHINGTON, DC 20593, UNITED STATES",,,,,,,,,,,,,,011,20593,,[],[],,0,0,One-to-One,0,0,Geocoder ZIP Missing,False,,Geocoder Missing,False,,
111165850.0,109324.0,,Bang & Olufsen,,,"Washington, DC",Logan Circle,1600 14th St NW,,Washington,District of Columbia,20009.0,,DC,United States,False,Office/Retail,Third Party - Other,CoStar Research,"1600 14TH ST NW, WASHINGTON, DC 20009, UNITED STATES",Match,"1600 14TH ST NW, WASHINGTON, DC, 20009",38.911189778564,-77.032024989019,11.0,1.0,5202.0,3003.0,110010052023003.0,,,,,011,20009,20009,[],['20009'],20009,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.911189778564,-77.032024989019
111164979.0,129837.0,,The Washington Latin Public Charter School,Educational Services,Elementary and Secondary Schools,"Washington, DC",Uptown,4715 16th St NW,,Washington,District of Columbia,20011.0,,DC,United States,False,Office,Third Party - Other,CoStar Research,"4715 16TH ST NW, WASHINGTON, DC 20011, UNITED STATES",Match,"4715 16TH ST NW, WASHINGTON, DC, 20011",38.947426511398,-77.03634670406,11.0,1.0,2501.0,2002.0,110010025012002.0,,,,,011,20011,20011,[],['20011'],20011,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.947426511398,-77.03634670406
112302288.0,129224.0,,United States Secret Service,Public Administration,National Security,"Washington, DC",East End,1100 L St NW,6000,Washington,District of Columbia,20005.0,,DC,United States,False,Office,Public Record - FOIA,CoStar Research,"1100 L ST NW, WASHINGTON, DC 20005, UNITED STATES",Match,"1100 L ST NW, WASHINGTON, DC, 20005",38.903684150553,-77.027113490963,11.0,1.0,10100.0,2005.0,110010101002005.0,,,,,011,20005,20005,[],['20005'],20005,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.903684150553,-77.027113490963
114488618.0,6975343.0,,DC Lottery & Charitable Games,Public Administration,Executive Offices,"Washington, DC",Southeast,2101 Martin Luther King Jr Ave SE,,Washington,District of Columbia,20020.0,,DC,United States,False,Office,Direct - Tenant,CoStar Research,"2101 MARTIN LUTHER KING JR AVE SE, WASHINGTON, DC 20020, UNITED STATES",Match,"2101 M L KING JR AVE SE, WASHINGTON, DC, 20020",38.865412459109,-76.989601105283,11.0,1.0,7503.0,1008.0,110010075031008.0,,,,,011,20020,20020,[],['20020'],20020,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.865412459109,-76.989601105283
111162844.0,129928.0,,Exterior Concepts,Construction,Roofing Contractors,"Washington, DC",NE,15 Oglethorpe St NW,,Washington,District of Columbia,20011.0,,DC,United States,False,Industrial,Third Party - Other,CoStar Research,"15 OGLETHORPE ST NW, WASHINGTON, DC 20011, UNITED STATES",Match,"15 OGLETHORPE ST NW, WASHINGTON, DC, 20011",38.961373496571,-77.013747866692,11.0,1.0,1902.0,1009.0,110010019021009.0,,,,,011,20011,20011,[],['20011'],20011,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.961373496571,-77.013747866692
111142646.0,6461437.0,,CVS Pharmacy,Retailer,Pharmacies and Drug Retailers,"Washington, DC",Uptown,110 Carroll St NW,,Washington,District of Columbia,20012.0,,DC,United States,False,Retail,Public Record - CMBS filing,CoStar Research,"110 CARROLL ST NW, WASHINGTON, DC 20012, UNITED STATES",Match,"110 CARROLL ST NW, WASHINGTON, DC, 20012",38.974747372282,-77.014106626275,11.0,1.0,1702.0,2004.0,110010017022004.0,,,,,011,20012,20012,[],['20012'],20012,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.974747372282,-77.014106626275
111148360.0,1340288.0,,The District of Columbia Office on Aging,Public Administration,General Government Support,"Washington, DC",East End,1134 11th St NW,,Washington,District of Columbia,20001.0,,DC,United States,False,Office,Public Record - FOIA,CoStar Research,"1134 11TH ST NW, WASHINGTON, DC 20001, UNITED STATES",Match,"1134 11TH ST NW, WASHINGTON, DC, 20001",38.905321508364,-77.02711133501,11.0,1.0,5004.0,3000.0,110010050043000.0,,,,,011,20001,20001,[],['20001'],20001,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.905321508364,-77.02711133501
110900558.0,129188.0,Vanguard Building,Peace Corps,Public Administration,International Affairs,"Washington, DC",CBD,1111 20th St NW,,Washington,District of Columbia,20036.0,,DC,United States,False,Office,Direct - Tenant,CoStar Research,"1111 20TH ST NW, WASHINGTON, DC 20036, UNITED STATES",Match,"1111 20TH ST NW, WASHINGTON, DC, 20036",38.903984428539,-77.044824576525,11.0,1.0,10700.0,1004.0,110010107001004.0,,,,,011,20036,20036,[],['20036'],20036,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.903984428539,-77.044824576525
