LeaseCompId,PropertyId,PropertyName,Tenant.Name,TenantIndustry,TenantNAICS,Market,Submarket,Address.DeliveryAddress,Suite,Address.Locality,Address.County,Address.PostalCode,Address.RegionName,Address.Subdivision,Address.Country,IsVerified.RawValue,SpaceUse,LeaseSource,LeaseOrigin,full_address_std
159301681.0,5822827.0,,,,,San Francisco,South of Market,322 6th St,,San Francisco,San Francisco,94103.0,,CA,United States,False,Office,Third Party - Landlord Rep,CoStar Research,"322 6TH ST, SAN FRANCISCO, CA 94103, UNITED STATES"
182473641.0,5828647.0,,,,,San Francisco,South of Market,1157 Folsom St,,San Francisco,San Francisco,94103.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"1157 FOLSOM ST, SAN FRANCISCO, CA 94103, UNITED STATES"
126508771.0,5828671.0,Triptych,Iza Ramen,Accommodation and Food Services,Dine-In Restaurants,San Francisco,South of Market,1155 Folsom St,,San Francisco,San Francisco,94103.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"1155 FOLSOM ST, SAN FRANCISCO, CA 94103, UNITED STATES"
114394392.0,5829668.0,,Atherton Appliance,Retailer,,San Francisco,Redwood City,3120 Middlefield Rd,,Redwood City,San Mateo,94063.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"3120 MIDDLEFIELD RD, REDWOOD CITY, CA 94063, UNITED STATES"
112333428.0,5829672.0,,,,,San Francisco,Redwood City,3194-3198 Middlefield Rd,,Redwood City,San Mateo,94063.0,,CA,United States,False,Retail,Direct - Landlord,CoStar Research,"3194 MIDDLEFIELD RD, REDWOOD CITY, CA 94063, UNITED STATES"
184707141.0,5829680.0,,,,,San Francisco,Redwood City,2850 Middlefield Rd,,Redwood City,San Mateo,94063.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"2850 MIDDLEFIELD RD, REDWOOD CITY, CA 94063, UNITED STATES"
152956741.0,5829681.0,,Villa Latina,,,San Francisco,Redwood City,3176 Middlefield Rd,,Redwood City,San Mateo,94063.0,,CA,United States,False,Office/Retail,Third Party - Other,CoStar Research,"3176 MIDDLEFIELD RD, REDWOOD CITY, CA 94063, UNITED STATES"
115483821.0,5832382.0,,Pro Transport,Health Care and Social Assistance,Ambulance Services,San Francisco,Redwood City,2951 Middlefield Rd,1,Redwood City,San Mateo,94063.0,,CA,United States,False,Industrial,Third Party - Landlord Rep,CoStar Research,"2951 MIDDLEFIELD RD, REDWOOD CITY, CA 94063, UNITED STATES"
131956011.0,5838211.0,,,,,San Francisco,Redwood City,3252 Middlefield Rd,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"3252 MIDDLEFIELD RD, MENLO PARK, CA 94025, UNITED STATES"
118734341.0,5839529.0,,,,,San Francisco,Redwood City,101-105 5th Ave,,Redwood City,San Mateo,94063.0,,CA,United States,False,Industrial,Third Party - Landlord Rep,CoStar Research,"101 5TH AVE, REDWOOD CITY, CA 94063, UNITED STATES"
