LeaseCompId,PropertyId,PropertyName,full_address,Address.DeliveryAddress,Address.Locality,Address.Subdivision,Address.PostalCode,Address.County,Market,Submarket
10845762.0,97539.0,,"260 Townsend St, San Francisco, CA 94107, United States",260 Townsend St,San Francisco,CA,94107.0,San Francisco,San Francisco,South of Market
133703481.0,97866.0,Green Glen,"500-550 Treat Ave, San Francisco, CA 94110, United States",500-550 Treat Ave,San Francisco,CA,94110.0,San Francisco,San Francisco,Mission/Potrero
70398398.0,97883.0,,"190 9th St, San Francisco, CA 94103, United States",190 9th St,San Francisco,CA,94103.0,San Francisco,San Francisco,South of Market
130403771.0,97951.0,,"2300 Harrison St, San Francisco, CA 94110, United States",2300 Harrison St,San Francisco,CA,94110.0,San Francisco,San Francisco,Mission/Potrero
162069811.0,98114.0,,"436 N Canal St, South San Francisco, CA 94080, United States",436 N Canal St,South San Francisco,CA,94080.0,San Mateo,San Francisco,South San Francisco
10468752.0,100184.0,Elmco Monk,"1195 Evans Ave, San Francisco, CA 94124, United States",1195 Evans Ave,San Francisco,CA,94124.0,San Francisco,San Francisco,Bayview/Hunters Point
116516661.0,100408.0,,"880 Hurlingame Ave, Redwood City, CA 94063, United States",880 Hurlingame Ave,Redwood City,CA,94063.0,San Mateo,San Francisco,Redwood City
70032491.0,100679.0,,"675-677 Jackson St, San Francisco, CA 94133, United States",675-677 Jackson St,San Francisco,CA,94133.0,San Francisco,San Francisco,Van Ness/Chinatown
10885044.0,100980.0,"International Fire, Inc","765 Pennsylvania Ave, San Francisco, CA 94107, United States",765 Pennsylvania Ave,San Francisco,CA,94107.0,San Francisco,San Francisco,Mission/Potrero
185920451.0,101120.0,,"547-551 Hayes St, San Francisco, CA 94102, United States",547-551 Hayes St,San Francisco,CA,94102.0,San Francisco,San Francisco,West of Van Ness
111585444.0,101130.0,Building 1,"3450 3rd St, San Francisco, CA 94124, United States",3450 3rd St,San Francisco,CA,94124.0,San Francisco,San Francisco,Bayview/Hunters Point
155820151.0,102463.0,,"180 E 3rd Ave, San Mateo, CA 94401, United States",180 E 3rd Ave,San Mateo,CA,94401.0,San Mateo,San Francisco,San Mateo
70043349.0,102728.0,,"3380 20th St, San Francisco, CA 94110, United States",3380 20th St,San Francisco,CA,94110.0,San Francisco,San Francisco,Mission/Potrero
193579901.0,102852.0,,"20 N Railroad Ave, San Mateo, CA 94401, United States",20 N Railroad Ave,San Mateo,CA,94401.0,San Mateo,San Francisco,San Mateo
114164095.0,102912.0,,"150 Executive Park Blvd, San Francisco, CA 94134, United States",150 Executive Park Blvd,San Francisco,CA,94134.0,San Francisco,San Francisco,Bayview/Hunters Point
111457451.0,102941.0,,"250 Executive Park Blvd, San Francisco, CA 94134, United States",250 Executive Park Blvd,San Francisco,CA,94134.0,San Francisco,San Francisco,Bayview/Hunters Point
160793891.0,103146.0,The Candlestick Point,"1 Crescent Way, San Francisco, CA 94134, United States",1 Crescent Way,San Francisco,CA,94134.0,San Francisco,San Francisco,Bayview
70211518.0,103201.0,,"2657-2659 Spring St, Redwood City, CA 94063, United States",2657-2659 Spring St,Redwood City,CA,94063.0,San Mateo,San Francisco,Redwood City
70351501.0,104397.0,,"2124-2126 Folsom St, San Francisco, CA 94110, United States",2124-2126 Folsom St,San Francisco,CA,94110.0,San Francisco,San Francisco,Mission/Potrero
158180621.0,104773.0,One Tehama,"246 1st St, San Francisco, CA 94105, United States",246 1st St,San Francisco,CA,94105.0,San Francisco,San Francisco,South Financial District
110198502.0,105387.0,,"313-317 Corey Way, South San Francisco, CA 94080, United States",313-317 Corey Way,South San Francisco,CA,94080.0,San Mateo,San Francisco,South San Francisco
70356294.0,105970.0,Creekside Plaza,"353-363 Main St, Redwood City, CA 94063, United States",353-363 Main St,Redwood City,CA,94063.0,San Mateo,San Francisco,Redwood City
70124555.0,106169.0,Demolished,"625 Industrial Rd, San Carlos, CA 94070, United States",625 Industrial Rd,San Carlos,CA,94070.0,San Mateo,San Francisco,Belmont/San Carlos
10420109.0,106782.0,,"3615 Buchanan St, San Francisco, CA 94123, United States",3615 Buchanan St,San Francisco,CA,94123.0,San Francisco,San Francisco,Marina
70245032.0,107143.0,,"2299 Post St, San Francisco, CA 94115, United States",2299 Post St,San Francisco,CA,94115.0,San Francisco,San Francisco,West of Van Ness
110294651.0,107984.0,,"330 1st St, San Francisco, CA 94105, United States",330 1st St,San Francisco,CA,94105.0,San Francisco,San Francisco,Rincon/South Beach
70366627.0,108002.0,,"3228 Sacramento St, San Francisco, CA 94115, United States",3228 Sacramento St,San Francisco,CA,94115.0,San Francisco,San Francisco,West of Van Ness
131354821.0,108167.0,,"1406-1490 Fillmore St, San Francisco, CA 94115, United States",1406-1490 Fillmore St,San Francisco,CA,94115.0,San Francisco,San Francisco,West of Van Ness
70245023.0,108245.0,Stagehouse Lofts,"465 10th St, San Francisco, CA 94103, United States",465 10th St,San Francisco,CA,94103.0,San Francisco,San Francisco,South of Market
70303446.0,108399.0,,"1161 Post St, San Francisco, CA 94109, United States",1161 Post St,San Francisco,CA,94109.0,San Francisco,San Francisco,Van Ness/Chinatown
136403991.0,108629.0,,"21 Brush Pl, San Francisco, CA 94103, United States",21 Brush Pl,San Francisco,CA,94103.0,San Francisco,San Francisco,South of Market
11117259.0,108933.0,Church of Christ,"250 Van Ness Ave, San Francisco, CA 94102, United States",250 Van Ness Ave,San Francisco,CA,94102.0,San Francisco,San Francisco,Civic Center
70406842.0,109035.0,,"555 Bragato Rd, San Carlos, CA 94070, United States",555 Bragato Rd,San Carlos,CA,94070.0,San Mateo,San Francisco,Belmont/San Carlos
130631381.0,109193.0,,"880 Sweeney Ave, Redwood City, CA 94063, United States",880 Sweeney Ave,Redwood City,CA,94063.0,San Mateo,San Francisco,Redwood City
128031291.0,109255.0,,"103 Gilbert Ave, Menlo Park, CA 94025, United States",103 Gilbert Ave,Menlo Park,CA,94025.0,San Mateo,San Francisco,Menlo Park
127027561.0,109329.0,,"901 Campus Dr, Daly City, CA 94015, United States",901 Campus Dr,Daly City,CA,94015.0,San Mateo,San Francisco,Brisbane/Daly City
118806451.0,109563.0,,"881-895 Hurlingame Ave, Redwood City, CA 94063, United States",881-895 Hurlingame Ave,Redwood City,CA,94063.0,San Mateo,San Francisco,Redwood City
122212771.0,109587.0,,"407 Cabot Rd, South San Francisco, CA 94080, United States",407 Cabot Rd,South San Francisco,CA,94080.0,San Mateo,San Francisco,South San Francisco
111657334.0,110020.0,,"2440 Mariposa St, San Francisco, CA 94110, United States",2440 Mariposa St,San Francisco,CA,94110.0,San Francisco,San Francisco,Mission/Potrero
70464017.0,110620.0,,"980 Folsom St, San Francisco, CA 94107, United States",980 Folsom St,San Francisco,CA,94107.0,San Francisco,San Francisco,Yerba Buena
123614631.0,110989.0,,"6767 Mission St, Daly City, CA 94014, United States",6767 Mission St,Daly City,CA,94014.0,San Mateo,San Francisco,Brisbane/Daly City
110054670.0,111017.0,,"333 Corey Way, South San Francisco, CA 94080, United States",333 Corey Way,South San Francisco,CA,94080.0,San Mateo,San Francisco,South San Francisco
70211176.0,111483.0,,"1075 Montgomery Ave, San Bruno, CA 94066, United States",1075 Montgomery Ave,San Bruno,CA,94066.0,San Mateo,San Francisco,San Bruno/Millbrae
70242742.0,111934.0,,"41-45 Sheridan St, San Francisco, CA 94103, United States",41-45 Sheridan St,San Francisco,CA,94103.0,San Francisco,San Francisco,South of Market
158055951.0,112011.0,The Townsend Street Lofts,"200 Townsend St, San Francisco, CA 94107, United States",200 Townsend St,San Francisco,CA,94107.0,San Francisco,San Francisco,Mission Bay
168007011.0,112406.0,,"2150 Oakdale Ave, San Francisco, CA 94124, United States",2150 Oakdale Ave,San Francisco,CA,94124.0,San Francisco,San Francisco,Mission/Potrero
70225031.0,112642.0,,"1300-1312 Polk St, San Francisco, CA 94109, United States",1300-1312 Polk St,San Francisco,CA,94109.0,San Francisco,San Francisco,Van Ness/Chinatown
112004265.0,113015.0,,"601 Taylor Way, San Carlos, CA 94070, United States",601 Taylor Way,San Carlos,CA,94070.0,San Mateo,San Francisco,Belmont/San Carlos
191474401.0,113447.0,,"695 Minna St, San Francisco, CA 94103, United States",695 Minna St,San Francisco,CA,94103.0,San Francisco,San Francisco,South of Market
10546001.0,113466.0,,"414-424 9th St, San Francisco, CA 94103, United States",414-424 9th St,San Francisco,CA,94103.0,San Francisco,San Francisco,South of Market
70307573.0,113475.0,,"433 Turk St, San Francisco, CA 94102, United States",433 Turk St,San Francisco,CA,94102.0,San Francisco,San Francisco,Civic Center
70223312.0,113707.0,,"615-621 Old County Rd, San Carlos, CA 94070, United States",615-621 Old County Rd,San Carlos,CA,94070.0,San Mateo,San Francisco,Belmont/San Carlos
113829596.0,113761.0,,"560 4th St, San Francisco, CA 94107, United States",560 4th St,San Francisco,CA,94107.0,San Francisco,San Francisco,South of Market
171187491.0,113778.0,Building B - Phase II,"1600 Sierra Point Pky, Brisbane, CA 94005, United States",1600 Sierra Point Pky,Brisbane,CA,94005.0,San Mateo,San Francisco,Brisbane/Daly City
10629024.0,113819.0,,"1-41 Arkansas St, San Francisco, CA 94107, United States",1-41 Arkansas St,San Francisco,CA,94107.0,San Francisco,San Francisco,South of Market
162691031.0,114153.0,,"959-965 Mission St, San Francisco, CA 94103, United States",959-965 Mission St,San Francisco,CA,94103.0,San Francisco,San Francisco,MidMarket
154008891.0,114662.0,304 Grand Avenue,"304 Grand Ave, South San Francisco, CA 94080, United States",304 Grand Ave,South San Francisco,CA,94080.0,San Mateo,San Francisco,South San Francisco
30037507.0,114696.0,,"966 Mission St, San Francisco, CA 94103, United States",966 Mission St,San Francisco,CA,94103.0,San Francisco,San Francisco,MidMarket
70108412.0,114823.0,,"867 American St, San Carlos, CA 94070, United States",867 American St,San Carlos,CA,94070.0,San Mateo,San Francisco,Belmont/San Carlos
70124019.0,114834.0,,"506-522 2nd Ave, Redwood City, CA 94063, United States",506-522 2nd Ave,Redwood City,CA,94063.0,San Mateo,San Francisco,Redwood City
