part_file,rows,size_mb
6_whole_tract_matched_final_001.csv,302423,85.44
6_whole_tract_matched_final_002.csv,302423,85.81
6_whole_tract_matched_final_003.csv,302423,85.44
6_whole_tract_matched_final_004.csv,140628,39.83
