LeaseCompId,PropertyId,PropertyName,Address.DeliveryAddress,Address.Locality,Address.Subdivision,Address.PostalCode,Address.County,Market,Submarket,full_address_std,match,matched_address,latitude,longitude,state_fips,county_fips,census_tract,census_block,geoid,tie_matched_addresses,tie_latitudes,tie_longitudes,tie_geoids
113288333.0,681057.0,,72 Tehama St,San Francisco,CA,94105.0,San Francisco,San Francisco,South Financial District,"72 TEHAMA ST, SAN FRANCISCO, CA 94105, UNITED STATES",Match,"72 TEHAMA ST, SAN FRANCISCO, CA, 94105",37.787057558083,-122.396889976207,6.0,75.0,61503.0,1001.0,60750615031001.0,,,,
111289949.0,681413.0,,2224-2230 Union St,San Francisco,CA,94123.0,San Francisco,San Francisco,Cow Hollow,"2224 UNION ST, SAN FRANCISCO, CA 94123, UNITED STATES",Match,"2224 UNION ST, SAN FRANCISCO, CA, 94123",37.797089353797,-122.435943051593,6.0,75.0,13002.0,2001.0,60750130022001.0,,,,
112102602.0,681417.0,,1851-1853 Union St,San Francisco,CA,94123.0,San Francisco,San Francisco,West of Van Ness,"1851 UNION ST, SAN FRANCISCO, CA 94123, UNITED STATES",Match,"1851 UNION ST, SAN FRANCISCO, CA, 94123",37.797763041778,-122.429740235304,6.0,75.0,13001.0,2002.0,60750130012002.0,,,,
70322763.0,682416.0,,3218 Buchanan St,San Francisco,CA,94123.0,San Francisco,San Francisco,West of Van Ness,"3218 BUCHANAN ST, SAN FRANCISCO, CA 94123, UNITED STATES",Match,"3218 BUCHANAN ST, SAN FRANCISCO, CA, 94123",37.799751112847,-122.432584444963,6.0,75.0,12902.0,1005.0,60750129021005.0,,,,
114112665.0,682647.0,,150 Chestnut St,San Francisco,CA,94111.0,San Francisco,San Francisco,Waterfront/North Beach,"150 CHESTNUT ST, SAN FRANCISCO, CA 94111, UNITED STATES",Match,"150 CHESTNUT ST, SAN FRANCISCO, CA, 94111",37.804771295585,-122.40558253944,6.0,75.0,10101.0,2011.0,60750101012011.0,,,,
70113712.0,683024.0,,1450-1480 Bancroft St,San Francisco,CA,94124.0,San Francisco,San Francisco,Bayview/Hunters Point,"1450 BANCROFT ST, SAN FRANCISCO, CA 94124, UNITED STATES",Match,"1450 BANCROFT AVE, SAN FRANCISCO, CA, 94124",37.724073771854,-122.389963477897,6.0,75.0,23400.0,1005.0,60750234001005.0,,,,
160638391.0,683399.0,,2001-2005 Spring St,Redwood City,CA,94063.0,San Mateo,San Francisco,Redwood City,"2001 SPRING ST, REDWOOD CITY, CA 94063, UNITED STATES",Match,"2001 SPRING ST, REDWOOD CITY, CA, 94063",37.483872951155,-122.215178669944,6.0,81.0,610201.0,1009.0,60816102011009.0,,,,
169337501.0,683604.0,The Presidio,9 Funston Ave,San Francisco,CA,94129.0,San Francisco,San Francisco,West of Van Ness,"9 FUNSTON AVE, SAN FRANCISCO, CA 94129, UNITED STATES",Match,"9 FUNSTON AVE, SAN FRANCISCO, CA, 94118",37.786562894698,-122.472274296434,6.0,75.0,40200.0,4001.0,60750402004001.0,,,,
192858941.0,683606.0,The Presidio,10 Funston Ave,San Francisco,CA,94129.0,San Francisco,San Francisco,West of Van Ness,"10 FUNSTON AVE, SAN FRANCISCO, CA 94129, UNITED STATES",Match,"10 FUNSTON AVE, SAN FRANCISCO, CA, 94118",37.786569216541,-122.47212951896,6.0,75.0,40200.0,4001.0,60750402004001.0,,,,
111976387.0,683611.0,The Presidio,1806 Belles St,San Francisco,CA,94129.0,San Francisco,San Francisco,West of Van Ness,"1806 BELLES ST, SAN FRANCISCO, CA 94129, UNITED STATES",Match,"1806 BELLES ST, SAN FRANCISCO, CA, 94129",37.789265236416,-122.472773363355,6.0,75.0,60100.0,1030.0,60750601001030.0,,,,
111132359.0,683613.0,,630 Gateway Blvd,South San Francisco,CA,94080.0,San Mateo,San Francisco,South San Francisco,"630 GATEWAY BLVD, SOUTH SAN FRANCISCO, CA 94080, UNITED STATES",Match,"630 GATEWAY BLVD, SOUTH SAN FRANCISCO, CA, 94080",37.657118369364,-122.4003907054,6.0,81.0,602300.0,2005.0,60816023002005.0,,,,
70447657.0,683615.0,The Presidio,97 Arguello Blvd,San Francisco,CA,94129.0,San Francisco,San Francisco,West of Van Ness,"97 ARGUELLO BLVD, SAN FRANCISCO, CA 94129, UNITED STATES",No_Match,,,,,,,,,,,,
166599041.0,683617.0,The Presidio,386 Arguello Blvd,San Francisco,CA,94129.0,San Francisco,San Francisco,West of Van Ness,"386 ARGUELLO BLVD, SAN FRANCISCO, CA 94129, UNITED STATES",No_Match,,,,,,,,,,,,
110472322.0,683632.0,388 Beale,388 Beale St,San Francisco,CA,94105.0,San Francisco,San Francisco,Rincon,"388 BEALE ST, SAN FRANCISCO, CA 94105, UNITED STATES",Match,"388 BEALE ST, SAN FRANCISCO, CA, 94105",37.787568929585,-122.391424776389,6.0,75.0,61506.0,2000.0,60750615062000.0,,,,
123396351.0,684311.0,Cabrillo Medical/Dental,667-669 Crespi Dr,Pacifica,CA,94044.0,San Mateo,San Francisco,Peninsula Coastline,"667 CRESPI DR, PACIFICA, CA 94044, UNITED STATES",Match,"667 CRESPI DR, PACIFICA, CA, 94044",37.596079757388,-122.497260876508,6.0,81.0,603300.0,1010.0,60816033001010.0,,,,
110639458.0,684405.0,,3213 Scott St,San Francisco,CA,94123.0,San Francisco,San Francisco,West of Van Ness,"3213 SCOTT ST, SAN FRANCISCO, CA 94123, UNITED STATES",Match,"3213 SCOTT ST, SAN FRANCISCO, CA, 94123",37.799437049628,-122.44109748874,6.0,75.0,12801.0,3000.0,60750128013000.0,,,,
70123977.0,684439.0,,2406-2410 Lombard St,San Francisco,CA,94123.0,San Francisco,San Francisco,West of Van Ness,"2406 LOMBARD ST, SAN FRANCISCO, CA 94123, UNITED STATES",Match,"2406 LOMBARD ST, SAN FRANCISCO, CA, 94123",37.799328249002,-122.44117200589,6.0,75.0,12801.0,3000.0,60750128013000.0,,,,
70095675.0,685216.0,,797 E San Bruno Ave,San Bruno,CA,94066.0,San Mateo,San Francisco,San Bruno/Millbrae,"797 E SAN BRUNO AVE, SAN BRUNO, CA 94066, UNITED STATES",Match,"797 SAN BRUNO AVE E, SAN BRUNO, CA, 94066",37.630976963928,-122.405573957937,6.0,81.0,604200.0,1004.0,60816042001004.0,,,,
